hpcd,mdc2,value
20038,5,8844
31322,5,8678
20048,6,6403
30126,6,6365
30012,5,6205
30119,5,6170
20058,6,5976
10024,6,5898
20115,5,5794
30119,6,5765
20124,6,5675
20113,6,5526
30451,5,5521
10031,6,5518
10019,6,5403
10048,6,5332
10058,6,5325
20042,6,5188
10056,6,5174
20046,6,5055
20083,6,5019
20045,6,4971
30866,6,4968
20063,5,4941
10013,6,4938
20003,6,4936
30005,6,4861
10075,6,4842
20049,6,4840
1369,4,4837
20145,6,4826
10055,6,4800
10033,6,4765
20104,6,4678
1346,2,4651
10046,6,4586
30522,6,4556
31138,6,4552
10026,6,4495
20014,6,4492
20124,5,4478
30332,5,4451
30276,6,4443
959,6,4440
20134,5,4426
10047,6,4389
20128,6,4353
20122,6,4352
31152,6,4336
10025,6,4332
1831,6,4326
30866,2,4287
20040,6,4265
10066,6,4249
10028,6,4234
10035,6,4234
1604,6,4218
20089,6,4214
20106,6,4176
30376,6,4164
20066,5,4140
20081,6,4126
30030,6,4098
20090,6,4076
30531,6,4059
20055,6,4053
20062,5,4044
10023,6,4033
10022,6,4026
20105,6,4010
30243,5,3997
20118,6,3996
20110,6,3994
10054,6,3980
20018,6,3976
30745,6,3956
20084,6,3909
10020,6,3893
20034,6,3890
10012,6,3889
20060,6,3883
20137,6,3834
10018,6,3787
20067,6,3771
20120,6,3760
30362,6,3760
20088,6,3758
20116,6,3742
1873,2,3728
10021,6,3717
2788,6,3707
2742,2,3701
20064,6,3695
10034,6,3691
20054,6,3691
20033,6,3680
10061,6,3675
20026,6,3675
20027,6,3670
10045,6,3668
30972,6,3668
10007,6,3664
20062,6,3636
10027,6,3627
20047,6,3610
10032,6,3609
20151,6,3582
20086,6,3575
2534,6,3550
10053,6,3541
20092,6,3540
30119,4,3534
10021,5,3529
30230,6,3529
31016,6,3526
31421,5,3511
30467,6,3506
31053,4,3502
20152,6,3490
20013,6,3488
30974,6,3485
20009,6,3474
10029,6,3459
20029,6,3456
31119,5,3444
20152,5,3429
31216,6,3428
20094,6,3412
10077,6,3408
30820,6,3392
20073,6,3387
30771,6,3373
20074,6,3363
30062,6,3349
20011,6,3332
10065,6,3329
30773,6,3328
31032,5,3314
10001,6,3307
10016,6,3297
31282,6,3293
30038,6,3287
20116,5,3286
20101,6,3284
20008,6,3282
30427,6,3279
20059,5,3265
10072,6,3258
20050,6,3258
10052,6,3255
1835,2,3242
10060,6,3237
30902,6,3229
90106,6,3220
20072,6,3215
30168,6,3203
20025,6,3201
20149,6,3194
20010,6,3183
10058,2,3168
30121,6,3167
10020,2,3165
10059,6,3155
20100,6,3146
30962,6,3143
30044,6,3135
10033,2,3134
20016,6,3134
20068,6,3132
10078,6,3126
20106,5,3115
30551,8,3112
30464,6,3106
31161,6,3106
20025,5,3105
20063,6,3101
20069,6,3101
31266,6,3101
30866,5,3097
20024,6,3094
20108,4,3091
20085,5,3077
30051,6,3075
10049,6,3062
20059,6,3054
30715,5,3052
20129,6,3051
10030,6,3046
30693,6,3046
20125,6,3044
20108,6,3043
20066,6,3040
10005,6,3032
30440,6,3028
10043,6,3022
10051,6,3017
31377,12,3011
345,5,3001
31370,6,3000
20147,6,2999
20117,6,2997
1421,6,2996
20093,6,2994
2701,2,2990
30482,4,2990
31174,6,2986
20065,6,2983
30227,6,2983
30766,6,2971
30849,6,2970
30459,6,2969
20103,6,2963
10068,6,2961
31275,6,2957
30319,6,2945
20114,6,2942
30166,6,2933
30924,4,2933
90227,5,2932
30811,6,2927
20127,6,2925
30426,6,2924
30771,4,2923
20061,6,2922
20128,5,2917
31168,6,2913
10057,6,2900
20130,6,2896
90117,6,2893
30332,6,2882
30415,6,2882
31049,6,2882
31124,2,2881
10064,6,2880
30747,6,2879
20087,4,2866
20035,6,2864
20150,6,2862
20021,6,2851
10024,5,2849
30483,6,2847
30648,6,2847
20018,5,2841
30989,6,2839
10034,4,2837
20124,4,2833
27,1,2832
20091,6,2828
10002,6,2825
31010,6,2821
30500,6,2820
30013,6,2819
10029,2,2815
30395,6,2813
10046,5,2810
31420,6,2808
31438,6,2806
10056,2,2805
90230,5,2805
30172,6,2797
31277,6,2797
20082,6,2793
20112,6,2791
20134,6,2790
31016,5,2785
90126,5,2784
20022,6,2777
31442,5,2769
30760,6,2766
20138,5,2762
20078,6,2753
30070,6,2735
20058,4,2734
31376,6,2734
30471,4,2732
20030,6,2724
20012,6,2722
20121,6,2719
20136,6,2716
20143,6,2715
20126,4,2707
20080,6,2701
20117,5,2699
30006,4,2698
20070,6,2690
20095,6,2680
30971,6,2680
31124,12,2680
20088,4,2676
30300,6,2672
30063,6,2664
30504,6,2660
10046,4,2659
20043,6,2656
31129,6,2655
20076,6,2652
20104,4,2650
30501,6,2650
20107,6,2644
10003,6,2641
30357,6,2638
30780,6,2634
31324,6,2634
20037,6,2632
30418,6,2631
30550,6,2630
20038,6,2625
30718,6,2625
10028,2,2623
30857,6,2617
31143,6,2616
10073,6,2612
20091,5,2612
20028,5,2611
10067,6,2609
90142,4,2607
2337,2,2606
31419,6,2603
31323,6,2600
10023,5,2591
20079,6,2581
31005,6,2578
20004,6,2577
20031,6,2572
20081,4,2572
20094,4,2572
20041,6,2571
10074,6,2566
30645,6,2566
31300,6,2565
31104,6,2564
30586,6,2563
30736,6,2558
20140,6,2557
20154,5,2556
20111,6,2555
30407,6,2555
20023,6,2553
30566,6,2553
2838,2,2552
30346,6,2551
30252,6,2550
10039,6,2548
30551,6,2545
30433,6,2539
31060,6,2539
10038,6,2535
1313,6,2533
30776,6,2532
20120,5,2529
30741,6,2529
30444,6,2527
30111,6,2519
20115,1,2514
31101,6,2513
10019,3,2510
20035,2,2498
20043,5,2497
20089,11,2497
20053,6,2496
30279,6,2494
10010,6,2493
20097,6,2487
20148,6,2484
31016,4,2480
31050,6,2480
30156,6,2479
30274,6,2478
30766,4,2478
10062,6,2476
30554,6,2476
10007,2,2475
20146,6,2472
30999,5,2470
30106,6,2467
10081,6,2464
30159,6,2462
20133,6,2461
20030,5,2459
30997,6,2456
20085,6,2454
30136,6,2453
20105,5,2451
10029,4,2444
30966,6,2443
10034,2,2441
20090,4,2440
31252,11,2440
31015,1,2439
30335,6,2437
10006,6,2436
30937,6,2431
20081,5,2429
30772,6,2423
30249,6,2422
2843,2,2421
556,6,2417
31479,6,2416
20040,11,2414
30352,6,2414
30315,5,2413
30879,14,2412
20001,6,2409
30730,6,2409
31367,6,2408
20089,5,2404
10046,2,2402
30472,6,2400
20139,6,2397
31182,6,2397
31485,4,2397
20093,5,2396
30173,6,2395
1368,4,2392
20145,4,2392
10057,2,2390
2950,2,2385
31274,6,2385
10020,4,2384
30085,6,2380
20077,6,2378
20006,6,2371
20054,5,2369
20002,5,2368
30379,2,2368
30948,6,2367
20106,4,2366
90038,6,2366
31488,6,2364
30795,6,2360
30823,6,2358
20034,5,2357
30543,6,2356
90229,5,2356
30278,6,2354
30285,5,2354
20132,6,2349
31222,6,2349
30291,6,2348
31148,6,2348
20092,4,2345
10011,6,2342
30863,6,2341
20112,4,2337
30965,6,2335
20052,6,2333
20096,6,2331
20144,6,2331
30329,6,2330
20057,6,2328
30896,6,2326
31320,6,2326
31026,6,2325
10017,6,2324
20142,5,2324
10025,5,2323
20019,6,2322
30318,6,2322
20110,5,2321
10040,6,2320
30796,6,2320
30130,6,2319
20034,11,2316
30386,6,2314
90044,7,2314
20048,12,2313
30147,6,2313
10013,5,2311
20056,6,2308
20028,6,2307
20083,4,2301
10063,6,2298
20075,6,2298
31003,6,2296
30250,6,2295
30095,6,2294
10052,2,2293
30151,6,2293
31209,6,2293
1231,6,2292
30004,1,2292
30340,7,2292
20098,5,2291
31325,6,2291
31137,6,2289
31322,6,2286
20029,5,2284
30525,6,2282
30098,6,2281
30122,11,2281
30222,6,2281
30569,6,2275
30535,6,2271
10022,12,2267
20153,6,2266
20080,5,2262
31479,4,2262
10046,11,2261
30809,6,2261
30497,6,2257
20089,4,2256
30355,6,2256
10015,6,2255
20142,6,2253
30975,6,2252
10026,4,2251
30933,1,2250
243,5,2248
20097,5,2246
10042,6,2243
20036,5,2236
30895,6,2236
20122,4,2234
30014,6,2234
30755,6,2232
30973,6,2232
10005,5,2231
30624,6,2229
30951,6,2228
30953,6,2225
31000,6,2223
30406,6,2222
30382,6,2221
20082,5,2220
30315,6,2220
30622,6,2217
31485,6,2214
10031,7,2213
30414,2,2213
10075,7,2212
30694,6,2207
30058,6,2206
31058,6,2202
30984,6,2201
20117,4,2199
30883,6,2199
31318,6,2198
30567,5,2196
30623,5,2196
20039,6,2191
30025,6,2190
10022,4,2189
10022,2,2188
30402,10,2188
30161,6,2186
30308,6,2183
10024,11,2180
30276,5,2180
20126,6,2179
30003,5,2179
30061,2,2178
10046,1,2176
30173,5,2173
30887,6,2171
20145,5,2168
30117,6,2168
31476,6,2167
30536,6,2166
1705,5,2165
20021,5,2161
31010,5,2161
10027,5,2160
30828,6,2160
30944,6,2156
30461,4,2155
31311,4,2155
31476,4,2153
20027,5,2152
30507,6,2152
30877,4,2152
10041,6,2151
10069,6,2150
30759,2,2150
20120,4,2149
20071,6,2148
20151,5,2144
10012,2,2143
10050,6,2143
20155,6,2142
30344,6,2142
10021,11,2141
31051,7,2141
20040,5,2140
31140,6,2140
20013,4,2139
10012,5,2136
30886,6,2136
10024,1,2133
30955,6,2133
571,6,2132
20091,4,2131
31007,6,2129
593,1,2128
31374,6,2123
20055,5,2121
30566,4,2121
20068,5,2120
31459,6,2120
20008,4,2113
30967,6,2113
31484,6,2111
10037,6,2110
10033,5,2109
30097,6,2109
31275,5,2109
20032,6,2106
30170,6,2106
20095,4,2105
30137,6,2103
30475,6,2103
30830,6,2100
20110,4,2098
20110,11,2098
10022,5,2095
20027,2,2094
20033,5,2094
30467,4,2092
20054,4,2089
30135,6,2089
30803,6,2088
31047,6,2088
20094,5,2087
2431,11,2082
31483,6,2082
20062,4,2081
20117,11,2079
31063,6,2079
20121,4,2078
10075,2,2076
30463,6,2076
20067,4,2074
20021,4,2073
30340,16,2072
10053,12,2070
30531,5,2070
10036,6,2068
20003,5,2067
30541,6,2066
20122,5,2065
31192,4,2065
31121,6,2061
30621,6,2059
30541,16,2057
20087,6,2054
30093,6,2054
10035,5,2053
31488,4,2053
30337,6,2049
30643,5,2049
10009,6,2048
30014,4,2048
30414,6,2047
20151,4,2046
30740,6,2046
31359,6,2046
20102,6,2044
30760,4,2044
30262,4,2043
30368,6,2043
31177,6,2043
31154,6,2040
30532,6,2036
10034,5,2035
30763,6,2034
10018,5,2033
30181,6,2033
30744,6,2033
30773,4,2033
30642,6,2032
10024,2,2031
30264,6,2031
30807,4,2031
30781,6,2030
90178,6,2027
671,5,2025
20107,4,2025
30930,6,2025
30026,5,2024
30270,6,2024
30425,5,2024
20062,11,2022
10053,5,2019
20084,5,2016
10058,4,2015
10016,2,2013
20088,12,2013
20093,4,2013
30483,5,2013
30911,6,2013
30512,6,2010
10056,5,2008
30808,6,2004
10031,12,2003
31091,6,2003
31282,16,2003
10025,4,2000
20111,5,2000
20114,5,2000
10074,4,1999
20057,11,1998
20103,5,1998
10026,5,1997
30581,6,1995
20060,5,1994
20007,6,1993
20042,4,1992
30769,4,1992
20017,6,1988
31065,6,1988
10022,7,1985
10007,4,1982
31142,5,1982
30884,6,1981
31053,6,1980
30829,6,1979
20026,12,1978
10014,6,1977
20020,4,1976
20119,6,1976
10027,2,1975
30411,6,1973
10011,5,1972
30108,6,1971
30799,6,1971
30548,6,1969
10021,10,1968
2266,4,1966
20002,6,1966
20136,5,1965
30276,11,1965
10055,5,1964
20029,1,1964
30120,9,1964
30330,6,1964
30769,6,1964
30089,6,1963
30730,4,1963
30277,6,1961
20120,1,1960
10012,12,1959
10044,6,1958
10047,2,1958
30430,6,1956
30547,6,1956
10005,2,1955
30876,6,1955
30342,6,1953
10008,6,1951
30206,6,1951
30749,6,1951
10059,5,1950
30742,6,1950
30247,4,1949
30546,6,1944
30550,5,1944
30888,6,1944
31405,6,1943
10029,5,1941
10035,4,1940
30555,6,1939
10049,12,1938
30759,6,1938
31206,6,1938
20041,5,1934
20100,5,1934
10080,6,1932
20039,5,1932
20044,6,1932
30285,4,1932
20030,4,1931
10033,11,1930
10029,11,1929
10013,11,1927
10060,5,1926
30755,4,1926
30951,5,1926
10056,4,1923
10076,6,1923
20015,6,1922
30780,4,1922
31451,5,1922
20138,6,1921
10024,12,1919
30100,6,1919
31324,4,1919
31175,6,1918
10019,11,1917
20003,12,1914
20009,5,1912
20098,6,1912
31348,6,1912
31143,13,1911
10030,5,1910
31390,6,1909
30536,4,1908
10013,4,1907
10047,4,1906
10044,5,1903
10019,2,1899
30805,6,1899
20110,1,1898
20129,5,1898
20147,5,1898
10054,12,1896
30469,5,1896
30226,6,1895
31223,6,1895
20040,4,1894
10012,4,1893
30063,4,1893
30470,7,1892
31217,6,1892
20005,6,1890
10031,11,1887
10057,5,1887
30866,11,1887
30221,6,1886
30469,6,1886
10075,12,1883
10082,2,1883
30747,4,1881
20018,4,1878
30821,6,1878
30059,6,1877
10020,3,1876
20086,4,1876
30499,6,1876
1092,10,1875
30769,5,1873
30036,7,1872
30889,12,1872
31180,6,1872
10031,5,1871
20100,4,1869
30488,16,1868
30820,4,1867
10024,4,1866
10033,4,1866
10075,5,1866
20127,4,1866
30038,11,1866
1941,6,1865
30013,4,1865
20046,4,1864
20121,5,1864
10022,11,1862
10021,1,1861
20072,4,1860
