hpcd,mdc6,ope,value
1346,020110,97,3805
20038,050050,99,3756
30866,020110,97,3000
1369,040040,99,2812
27,010230,99,2657
30012,050050,2,2416
2742,020110,97,2371
31322,050050,99,2306
20038,050050,2,2160
2701,020110,97,2121
1835,020110,97,2083
31124,020110,97,2077
30006,040040,99,2038
30119,050050,99,1858
2838,020110,97,1830
1873,020110,97,1818
30414,020110,97,1815
2788,060100,1,1808
31053,040040,99,1746
10056,020110,97,1717
10020,020110,97,1704
2337,020110,97,1691
10034,040040,99,1622
30012,050050,99,1555
10033,020110,97,1553
2843,020110,97,1544
1831,060220,97,1539
30122,180040,97,1537
2534,060100,1,1520
30119,040040,99,1514
20134,050050,99,1508
20063,050050,99,1492
31051,070470,99,1464
30120,090010,99,1460
2950,020110,97,1456
20083,040040,99,1440
1604,060100,1,1397
2012,020110,97,1397
10058,020110,97,1391
959,060100,1,1373
10034,020110,97,1341
20058,040040,99,1320
30126,060100,1,1280
90117,060100,1,1255
30247,040040,99,1246
31152,060100,1,1226
20030,020110,97,1222
31442,050050,99,1222
31322,050070,1,1207
30924,040040,99,1199
30243,050070,1,1197
30304,020110,97,1189
30188,020110,97,1188
90126,050050,99,1182
31421,050050,99,1180
31376,060100,1,1179
31322,050050,2,1178
31192,040040,99,1177
1368,040040,99,1163
10019,020110,97,1159
10022,020110,97,1151
30918,020110,97,1146
20042,040040,99,1145
20001,020110,97,1143
10006,020110,97,1138
20027,020110,97,1137
10020,040040,99,1132
30119,060100,1,1125
10060,020110,97,1119
30379,020110,97,1113
20035,020110,97,1109
1831,060235,97,1101
10019,060100,1,1100
31025,020110,97,1083
20121,020110,97,1080
333,060100,1,1074
30352,020110,97,1074
2788,060035,99,1072
30464,020110,97,1072
30464,060100,1,1070
31223,020110,97,1070
30745,040040,99,1053
30715,050050,99,1052
20059,050050,99,1048
10012,020110,97,1046
30889,140010,99,1044
30276,060100,1,1043
30866,060100,1,1043
31325,040040,99,1043
31129,060100,1,1037
10029,020110,97,1031
1092,100020,1,1020
10027,020110,97,1014
20117,020110,97,1009
30340,07040x,1,1007
30482,040040,99,1003
10005,020110,97,1002
10073,040040,99,1000
10016,020110,97,998
1421,060100,1,996
30879,140010,99,996
20152,050070,1,995
20048,040040,99,994
30471,040040,99,993
30968,020110,97,989
30971,020110,97,988
1941,060100,1,984
10057,020110,97,976
30962,060100,1,969
10074,040040,99,961
30252,020110,97,961
30376,060100,1,961
2398,090010,99,960
20087,020110,97,959
30332,050050,99,959
10035,020110,97,955
30315,050050,99,954
20113,040040,99,952
30061,020110,97,947
30332,050050,2,947
30597,020110,97,947
30807,040040,99,944
10047,020110,97,938
10053,020110,97,937
20062,050050,99,935
10038,020110,97,928
10024,020110,97,925
90231,040130,99,925
10013,020110,97,920
31138,060100,1,919
31050,020110,97,916
90036,070470,99,914
3041,020110,97,912
31008,020110,97,910
571,060100,99,909
10064,020110,97,907
1313,060100,1,905
20046,040040,99,905
30262,040040,99,903
30475,020110,97,900
30942,020110,97,894
90142,040040,99,893
30759,020110,97,887
30765,020110,97,885
10046,020110,97,883
31325,090010,99,881
20088,040040,99,880
30522,040040,99,879
31479,040080,99,879
10028,020110,97,876
10030,020110,97,876
20089,020110,97,876
20030,050070,1,875
10061,040040,99,869
10037,020110,97,864
30622,020110,97,864
20048,090010,1,857
10007,040040,99,855
30375,020110,97,855
30974,020110,97,850
30863,020110,97,839
30426,060100,1,837
20062,050050,2,836
30285,040040,99,835
30002,040040,99,834
20056,020110,97,833
30937,020110,97,833
30866,050050,99,832
30083,040040,99,831
30451,050070,1,829
20033,020110,97,828
30030,060100,1,826
31036,020110,97,825
20058,040040,97,824
31016,020110,97,823
30944,060100,1,821
30005,060100,1,818
1805,070470,99,817
20008,040040,99,817
31385,090010,99,817
556,060220,97,815
10055,020110,97,815
345,050070,1,813
30886,020110,97,813
20062,050070,1,810
10033,040040,99,808
20093,020110,97,808
30483,020110,97,807
20030,040040,99,806
10082,020110,97,803
1890,020110,97,800
30418,020110,97,800
10046,040040,99,799
30693,040040,99,798
1956,07040x,1,797
10031,020110,97,797
10031,070560,99,797
20115,050050,99,796
30535,020110,97,796
30061,140010,99,795
10039,040040,99,794
20124,020110,97,794
10063,020110,97,792
30948,020110,97,792
90086,020110,97,790
20064,020110,97,786
30362,060235,97,785
31440,070470,99,784
90227,050050,99,781
20134,050050,2,780
30318,020110,97,777
30976,020110,97,776
10050,020110,97,775
20108,020110,97,773
30451,050050,99,773
10054,040040,99,772
20066,060100,1,772
20137,020110,97,771
31162,040040,99,771
20040,060100,1,770
20104,020110,97,769
269,010230,99,768
3064,020110,97,767
10020,03001x,99,767
20063,020110,97,767
30461,040040,99,767
10026,020110,97,766
10007,020110,97,765
2236,020110,97,764
20116,020110,97,764
20147,040040,99,761
10078,040040,99,760
20138,050050,99,760
30404,020110,97,759
30451,050050,2,758
20063,050070,1,756
30402,100020,1,756
20095,040080,99,755
31015,010060,99,754
10075,040040,99,753
20013,040040,99,753
20029,040040,99,750
20115,050070,1,749
10065,020110,97,748
20040,040040,99,748
30122,110280,99,748
20018,050070,1,747
30056,020110,97,747
90181,070230,1,746
30830,020110,97,741
31234,040040,99,739
30730,020110,97,738
20049,060100,1,737
20122,040040,99,737
30249,020110,97,737
30747,040040,99,737
30062,060100,1,736
10029,040040,99,735
10058,060100,1,735
30500,020110,97,734
20107,140010,99,733
31161,020110,97,733
30206,040040,99,731
30967,020110,97,729
20057,110080,99,726
31119,050050,2,725
522,050050,99,723
31124,120060,2,723
2985,020110,97,722
243,050050,99,720
90230,050050,2,719
10011,050070,1,716
30038,040040,99,715
10028,040040,99,714
2301,070470,99,713
20083,12002x,99,713
20145,040040,99,713
30248,020110,97,713
20043,050050,99,712
30063,040040,99,712
30312,010060,99,712
20110,140010,99,710
20055,040040,99,709
20126,040040,99,709
30274,040040,99,709
31138,020110,97,708
30820,020110,97,706
20124,050050,99,705
10056,060100,1,703
20003,060100,1,702
20057,020110,97,702
31320,040040,99,700
31451,050050,99,700
20115,010060,99,698
10021,020110,97,695
345,050050,2,692
90234,11012x,4,692
20098,050050,2,691
30770,020110,97,691
20026,020110,97,690
10043,040040,99,689
10053,12002x,99,689
30208,020110,97,689
30741,060100,1,687
31389,020110,97,687
31439,020110,97,687
20110,020110,97,686
30382,020110,97,686
31488,040080,99,685
959,060100,99,684
30887,020110,97,684
30554,040040,99,683
20104,040040,99,682
10073,020110,97,681
31069,050050,2,681
2359,020110,97,679
10033,020220,97,679
10058,040040,99,679
30440,020110,97,679
30989,020110,97,679
20087,040040,99,677
20027,040040,99,676
30243,050050,99,676
30522,06007x,99,676
20075,020110,97,675
31303,020110,97,675
556,060235,97,674
20021,040040,99,674
20110,040040,99,674
10023,040040,99,671
20060,040040,99,671
30730,040040,99,671
90148,060100,1,671
20021,020110,97,670
2266,040080,99,668
10026,040040,99,667
10076,020110,97,667
20127,040040,99,667
20062,040040,99,665
31485,040080,99,664
20073,040040,99,663
20053,040040,99,662
30536,040040,99,662
10005,040040,99,661
10012,040040,99,661
30058,020110,97,661
30082,040040,99,660
30531,060035,99,660
10062,040040,99,659
20110,060100,1,658
30287,020110,97,656
30927,020110,97,656
10044,020110,97,654
20062,020110,97,654
30337,060100,1,654
30541,160620,1,654
31128,060100,1,654
90170,060100,1,653
30121,020110,97,652
30355,020110,97,652
30771,040080,99,650
31089,020110,97,650
10013,040040,99,649
10049,020110,97,649
20014,040040,99,649
20124,050130,99,649
30362,060241,97,647
10072,020110,97,645
30548,120060,2,645
30863,040040,99,645
20058,060010,99,644
30394,07040x,1,644
20026,040040,99,643
30354,060100,1,641
10062,020110,97,640
20114,040040,99,640
31448,090010,99,640
20122,020110,97,639
31174,040040,99,638
31367,020110,97,638
30715,050050,2,637
31266,060035,99,637
20084,040040,99,636
20106,050050,99,636
30135,040040,99,636
20100,020110,97,635
10078,020110,97,634
20046,060010,99,634
10021,110280,99,632
30566,040040,99,632
31063,020110,97,631
20059,050050,2,630
90229,050050,2,630
1194,020110,97,629
10024,030250,99,628
20091,050050,99,628
30467,020110,97,628
30716,020110,97,628
30877,040040,99,628
20090,040040,99,626
10048,060100,1,623
20067,040040,99,623
30693,060100,1,623
30800,060100,1,622
90223,010230,99,621
10047,060100,1,620
10075,020110,97,620
20020,040040,99,620
30570,020110,97,620
30051,140010,99,618
31307,040081,99,617
20062,060100,1,616
20124,050050,2,616
30985,050050,99,616
10003,020110,97,615
90106,060100,1,614
20145,060100,1,613
30483,010010,99,613
30499,020110,97,613
30740,020110,97,613
30315,060100,1,612
30352,040040,99,612
10018,020110,97,611
30166,020110,97,611
1231,060100,1,610
20116,050070,1,610
10058,020150,97,609
20106,040040,99,609
20121,040040,99,609
2245,180040,97,608
10022,040040,99,608
30742,020110,97,608
31222,020110,97,608
30997,020110,97,607
30130,060100,1,606
31377,120260,2,606
30221,020110,97,605
30980,020200,99,605
20113,06007x,99,604
30622,040040,99,603
30965,060100,1,603
90212,070350,1,601
20068,050070,1,600
31058,020110,97,600
10066,020220,97,599
10001,040040,99,598
10024,050050,99,598
20050,140010,99,598
30402,100130,97,598
31483,070230,1,598
20080,050050,99,597
30980,020110,97,597
20152,010060,99,596
10018,040040,99,595
20003,120060,2,595
20107,020110,97,595
30803,020110,97,595
2443,140010,99,594
20063,050050,2,594
20066,050050,99,594
30551,020110,97,594
30680,020110,97,594
30114,040040,99,593
30999,050050,2,593
20027,060100,1,592
20112,040040,99,591
30119,050050,2,591
20042,060010,99,590
20085,050050,99,590
30068,020110,97,590
10067,020110,97,589
31370,040040,99,589
10052,040040,99,588
30969,060100,1,588
31150,110280,99,588
20061,060100,1,587
20120,050070,1,587
20124,040040,99,587
30531,020110,97,587
10048,020110,97,586
20034,110080,99,585
20146,040040,99,585
31234,090010,99,585
90106,060010,99,585
10046,020200,97,584
30483,060100,1,584
20132,040040,99,583
30082,090010,99,583
10014,020110,97,581
10047,040040,99,581
20002,050050,99,581
20128,050050,99,581
30316,060100,1,581
31325,12002x,99,581
20072,020110,97,580
20126,050050,99,580
30975,060100,1,580
31007,040040,99,580
30444,020110,97,579
41,160610,1,577
10056,040040,99,577
20113,12002x,99,577
20116,050050,99,576
31168,060100,1,575
20039,040040,99,574
30119,050070,99,574
30221,040080,99,574
30849,020110,97,574
31476,040080,99,574
20035,040040,99,573
20091,040040,99,573
30643,050050,99,572
30953,060100,1,572
1737,060100,1,571
10066,040040,99,571
30355,020200,97,571
31434,040040,99,571
2022,020110,97,570
2045,050050,2,570
10048,040040,99,570
30111,040040,99,570
30230,060100,1,570
31046,060100,1,570
593,010060,99,568
10040,020110,97,568
20058,03001x,99,568
1317,040040,99,567
30957,060100,1,566
30970,040040,99,566
10072,040040,99,565
20108,040080,99,565
30162,020110,97,564
30756,030250,99,563
10002,040040,99,562
10081,040040,99,562
30957,030250,99,562
2534,060100,99,561
30130,020110,97,561
20035,050050,99,560
20038,040080,99,560
31164,010060,99,560
31230,020110,97,560
20108,040040,99,559
30427,060100,1,559
30751,060100,1,559
30916,040081,99,559
31488,110310,99,558
20091,040080,99,557
30886,140010,99,557
31078,020110,97,557
824,020110,97,554
30315,050050,2,554
30744,020110,97,554
30754,040080,99,554
30903,050050,2,553
10023,060100,1,552
20018,060340,3,552
20025,050050,99,552
30531,050050,99,552
30972,060100,1,552
30766,040080,99,551
31377,120180,99,551
31484,020110,97,551
20101,020110,97,550
20124,050070,1,550
30780,040080,99,549
30846,060100,1,549
31361,040040,99,549
306,020110,97,548
20105,050050,99,548
20128,060100,1,548
30456,050050,99,548
31016,050130,99,548
31484,040080,99,548
10052,020200,99,547
20106,050070,1,546
20117,040040,99,545
20079,050050,99,543
30003,050050,99,543
10024,040040,97,542
20089,050070,1,542
30277,020110,97,542
30811,020110,97,542
31065,060100,1,542
31174,010310,99,542
90214,140010,99,542
2592,010060,99,541
20011,040040,99,541
20026,140010,99,541
20048,12002x,99,541
959,060102,99,540
20038,050130,99,540
30022,020110,97,540
30857,020110,97,540
20047,140010,99,539
30126,060035,99,539
30504,060100,1,539
10007,020220,97,538
30058,040040,99,538
31032,050050,99,538
